seniorAllocationBps,juniorCoverageFloorBps,recoveryRate,withdrawalSensitivity,correlationLevel,seniorImpairmentProbability,juniorDepletionProbability,breakerActivationFrequency,avgBreakerDuration,avgTimeToStabilization,avgJuniorNAVVolatility,avgSeniorNAVVolatility,capitalEfficiencyScore,waterfallViolationCount,negativeNavCount
6000,1000,0.30,LOW,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.003688,0.000000,5.700000,0,0
6000,1000,0.30,LOW,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.004541,0.000000,5.700000,0,0
6000,1000,0.30,LOW,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.016504,0.000000,5.700000,0,0
6000,1000,0.30,MEDIUM,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.003692,0.000000,5.700000,0,0
6000,1000,0.30,MEDIUM,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.004572,0.000000,5.700000,0,0
6000,1000,0.30,MEDIUM,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.016839,0.000000,5.700000,0,0
6000,1000,0.30,HIGH,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.003651,0.000000,5.700000,0,0
6000,1000,0.30,HIGH,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.004654,0.000000,5.700000,0,0
6000,1000,0.30,HIGH,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.017215,0.000000,5.700000,0,0
6000,1000,0.40,LOW,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004287,0.000000,6.300000,0,0
6000,1000,0.40,LOW,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.005388,0.000000,6.300000,0,0
6000,1000,0.40,LOW,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.015499,0.000000,6.300000,0,0
6000,1000,0.40,MEDIUM,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004156,0.000000,6.300000,0,0
6000,1000,0.40,MEDIUM,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.005435,0.000000,6.300000,0,0
6000,1000,0.40,MEDIUM,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.015251,0.000000,6.300000,0,0
6000,1000,0.40,HIGH,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004163,0.000000,6.300000,0,0
6000,1000,0.40,HIGH,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.005404,0.000000,6.300000,0,0
6000,1000,0.40,HIGH,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.015686,0.000000,6.300000,0,0
6000,1000,0.50,LOW,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004673,0.000000,6.900000,0,0
6000,1000,0.50,LOW,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006264,0.000000,6.900000,0,0
6000,1000,0.50,LOW,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.015059,0.000000,6.900000,0,0
6000,1000,0.50,MEDIUM,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004884,0.000000,6.900000,0,0
6000,1000,0.50,MEDIUM,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006174,0.000000,6.900000,0,0
6000,1000,0.50,MEDIUM,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.015307,0.000000,6.900000,0,0
6000,1000,0.50,HIGH,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.004750,0.000000,6.900000,0,0
6000,1000,0.50,HIGH,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006161,0.000000,6.900000,0,0
6000,1000,0.50,HIGH,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.015709,0.000000,6.900000,0,0
6000,1000,0.60,LOW,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.005135,0.000000,7.500000,0,0
6000,1000,0.60,LOW,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006673,0.000000,7.500000,0,0
6000,1000,0.60,LOW,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.014405,0.000000,7.500000,0,0
6000,1000,0.60,MEDIUM,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.005117,0.000000,7.500000,0,0
6000,1000,0.60,MEDIUM,MODERATE,0.000000,0.000000,0.000000,0.000000,0.000000,0.006815,0.000000,7.500000,0,0
6000,1000,0.60,MEDIUM,CLUSTERED,0.000000,0.000000,0.000000,0.000000,0.000000,0.014581,0.000000,7.500000,0,0
